Formula,Compound Name,CAS ID,Mass,RT,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T
1038.4576@10.411995,1038.4576@10.411995,,1038.4576,10.411995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20777.0,,,,,,,,16571.0,26422.0,54428.0,,,,46877.0,21116.0,84409.0,35087.0,32543.0,14265.0,,,,,,,,,20777.0,,,26422.0,,46877.0,32543.0
1038.5961@12.0599985,1038.5961@12.0599985,,1038.5961,12.0599985,,,,,,,,,,,,,,,,,,,197321.0,,14282.0,,23384.0,,,,,45369.0,79181.0,54687.0,,99524.0,97699.0,,25698.0,16828.0,18868.0,35755.0,26968.0,,19026.0,48881.0,74107.0,87265.0,78593.0,26940.0,50521.0,46237.0,,,,,,,,,105802.0,23384.0,54687.0,98612.0,21263.0,26968.0,33954.0,78593.0,46237.0,
1038.6285@10.687004,1038.6285@10.687004,,1038.6285,10.687004,,,,155069.0,123145.0,121242.0,,,114222.0,,,131791.0,113916.0,,122462.0,,,145758.0,,,,,,,,137312.0,,,179253.0,,,,,,,271185.0,138937.0,,307627.0,,,,248872.0,,330149.0,,,,,,,123145.0,114222.0,131791.0,118189.0,145758.0,,,179253.0,,271185.0,223282.0,,289510.0,,
1038.7292@12.458005,1038.7292@12.458005,,1038.7292,12.458005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48702.0,,,,,,,,,,,,,,123670.0,157634.0,134240.0,,,,,,,,,,,,,,48702.0,,,,,134240.0,,
1038.8387@14.218,1038.8387@14.218,,1038.8387,14.218,,,,74421.0,,191841.0,,,,,215313.0,26832.0,184319.0,175268.0,147833.0,30276.0,160870.0,209349.0,209613.0,240968.0,144819.0,20929.0,189886.0,236325.0,35788.0,185301.0,214118.0,256737.0,23804.0,5361.0,,,,,,43324.0,49703.0,,44600.0,,27979.0,41261.0,46905.0,48412.0,36974.0,55030.0,139159.0,69897.0,134850.0,164201.0,163785.0,133131.0,,121072.0,175268.0,160870.0,209613.0,189886.0,23804.0,,43324.0,47152.0,34620.0,46905.0,69897.0,163785.0
1038.8412@14.286006,1038.8412@14.286006,,1038.8412,14.286006,,,,545796.0,448842.0,375368.0,387969.0,352103.0,387570.0,400097.0,170915.0,398752.0,215388.0,350980.0,319449.0,158041.0,325306.0,349788.0,230423.0,390454.0,386044.0,372538.0,376653.0,410461.0,368693.0,377990.0,413055.0,,,,,,197044.0,197822.0,,,162126.0,,,528018.0,415772.0,329513.0,280716.0,222471.0,109945.0,,,297766.0,291354.0,292843.0,248592.0,448842.0,387570.0,398752.0,319449.0,325306.0,386044.0,376653.0,,197044.0,197822.0,162126.0,415772.0,222471.0,297766.0,291354.0
1038.845@14.219993,1038.845@14.219993,,1038.845,14.219992999999999,,,,90898.0,,192538.0,,,192603.0,,215972.0,28508.0,182400.0,174346.0,163228.0,30276.0,161824.0,210125.0,214928.0,241316.0,147239.0,20929.0,192259.0,214875.0,217056.0,182552.0,230385.0,260033.0,71297.0,,,,,27185.0,,43324.0,56609.0,,59733.0,,27979.0,41228.0,46851.0,48412.0,35945.0,55030.0,34854.0,194828.0,57724.0,164278.0,180493.0,141718.0,192603.0,122240.0,174346.0,161824.0,214928.0,192259.0,165665.0,,35254.0,58171.0,34604.0,46851.0,55030.0,164278.0
1042.0886@1.2140005,1042.0886@1.2140005,,1042.0886,1.2140004999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11757.0,15837.0,,12429.0,22082.0,,,,12702.0,13245.0,14845.0,,,,,,,,,,,,,,,,,,,,13797.0,17256.0,,13245.0,,,,
1042.6804@11.583992,1042.6804@11.583992,,1042.6804,11.583992,,,,379519.0,374217.0,442985.0,413084.0,240515.0,365082.0,395415.0,356798.0,371423.0,436138.0,406818.0,335789.0,330133.0,401089.0,275765.0,308925.0,187217.0,334247.0,314826.0,393105.0,383058.0,336346.0,391957.0,384916.0,317632.0,398108.0,363923.0,,445966.0,499082.0,444366.0,514202.0,426418.0,385631.0,516296.0,472928.0,352002.0,479502.0,577645.0,489881.0,465694.0,468161.0,323208.0,343284.0,294144.0,354362.0,295614.0,301812.0,379519.0,365082.0,371423.0,406818.0,330133.0,308925.0,383058.0,363923.0,472524.0,444366.0,472928.0,479502.0,468161.0,323208.0,301812.0
1044.6666@11.052001,1044.6666@11.052001,,1044.6666,11.052000999999999,,,,546984.0,527504.0,550000.0,531358.0,323006.0,456777.0,529256.0,488005.0,527470.0,541450.0,519799.0,452444.0,514708.0,691725.0,511087.0,478323.0,261541.0,536725.0,469877.0,568134.0,588320.0,494606.0,523089.0,510441.0,462643.0,691608.0,720424.0,,824495.0,658919.0,583670.0,688125.0,631536.0,598014.0,682261.0,567754.0,604192.0,691911.0,729793.0,640017.0,633408.0,664414.0,589090.0,541487.0,646368.0,528005.0,589504.0,601922.0,546984.0,456777.0,527470.0,519799.0,514708.0,478323.0,568134.0,691608.0,741707.0,631536.0,598014.0,691911.0,640017.0,589090.0,589504.0
1045.6775@11.083995,1045.6775@11.083995,,1045.6775,11.083995,,,,96117.0,141080.0,127854.0,,96861.0,48208.0,,,38336.0,158303.0,122463.0,98088.0,148599.0,,,70723.0,103992.0,44696.0,168924.0,,,124420.0,,79053.0,,,,,,,,,,,,,68700.0,235926.0,,,,,,88784.0,111453.0,116430.0,,,127854.0,72534.0,38336.0,122463.0,148599.0,70723.0,168924.0,,,,,152313.0,,100118.0,116430.0
1050.5465@7.6780014,1050.5465@7.6780014,,1050.5465,7.678001400000001,,,,27902.0,24700.0,31376.0,36994.0,,38894.0,33145.0,24804.0,33133.0,14838.0,,,,31846.0,,23362.0,,30884.0,17883.0,31644.0,27599.0,14471.0,,14906.0,,38020.0,,,103092.0,,,,43907.0,,,,20347.0,33295.0,60102.0,57438.0,63733.0,56677.0,39916.0,27126.0,44292.0,13604.0,15460.0,,27902.0,37944.0,33133.0,14838.0,31846.0,27123.0,27599.0,38020.0,103092.0,43907.0,,33295.0,57438.0,39916.0,14532.0
1050.6467@12.400002,1050.6467@12.400002,,1050.6467,12.400002,,,,,,,,,,,,,,,,,,,58339.0,,,,,,,,,46117.0,57327.0,74154.0,,65953.0,73445.0,,31404.0,,48251.0,57271.0,48445.0,,,54498.0,91246.0,99437.0,87120.0,,63508.0,50640.0,,,,,,,,,58339.0,,57327.0,69699.0,31404.0,48445.0,54498.0,91246.0,57074.0,
1050.651@11.414998,1050.651@11.414998,,1050.651,11.414997999999999,,,,,,,,,903981.0,,,,1054473.0,,,,1164696.0,916358.0,,,,,,,888003.0,,938185.0,662853.0,,,,,,,,,912757.0,1090186.0,921962.0,,,,,973571.0,,,,,,,927756.0,,903981.0,,1054473.0,1040527.0,,,662853.0,,,921962.0,,973571.0,,927756.0
